Galaxy,Inc_deg,D_Mpc,Rdisk_kpc,Rdisk_arcsec,Vflat_kms,outer_slope_ols,kappa_screening,screening_group
NGC3769,70.0,18.0,3.38,38.73198333333333,118.6,-0.0365817772990541,eligible,Eligible for first-pass κ measurement
NGC3917,79.0,18.0,2.63,30.137608333333333,135.9,0.0562249496769381,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
NGC3992,56.0,23.7,4.96,43.16769620253165,241.0,-0.1174278492004831,eligible,Eligible for first-pass κ measurement
NGC4013,89.0,18.0,3.53,40.45085833333333,172.9,-0.0576489082892517,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
NGC4088,69.0,18.0,2.58,29.56465,171.7,-0.0634254261707534,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
NGC4100,73.0,18.0,2.15,24.637208333333334,158.2,-0.1669863099556416,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
NGC4157,82.0,18.0,2.32,26.585266666666666,184.7,-0.0618454173927194,"edge-on geometry (Inc > 75°); small apparent disk (Rdisk_app < 30"")",Excluded: edge-on and too small
NGC4183,82.0,18.0,2.79,31.971075,110.6,-0.0006321861682223,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
NGC4214,15.0,2.87,0.51,36.653362369337984,80.1,0.076452461118062,face-on geometry (Inc < 30°),Excluded: face-on geometry
NGC4217,86.0,18.0,2.94,33.68995,181.3,-0.1114471878654987,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
NGC4559,67.0,9.0,2.1,48.1285,121.2,0.0917278658646074,eligible,Eligible for first-pass κ measurement
NGC5033,66.0,15.7,5.16,67.79155414012739,194.2,-0.1485873626041598,eligible,Eligible for first-pass κ measurement
NGC5055,55.0,9.9,3.2,66.67151515151515,179.0,-0.109976838700355,eligible,Eligible for first-pass κ measurement
