Galaxy,Q,Rdisk_kpc,Vflat_kms,Inc_deg,D_Mpc,L36_1e9solLum,MHI_1e9solMass,N_total,N_invalid_total,N_outer_raw,N_outer_valid,outer_radius_threshold_kpc,outer_slope_ols,outer_slope_stderr,outer_slope_weighted,intercept_log10,weighted_intercept_log10,flatness_abs,stability_index_log10,rvalue_loglog,pvalue_loglog,accepted_main,exclusion_reason_primary,exclusion_reasons_all
NGC4214,2,0.51,80.1,15.0,2.87,1.141,0.486,14,0,11,11,1.275,0.07645246111806202,0.01765700269604257,0.0895279483898643,1.8573096958853608,1.8526502085000232,0.07645246111806202,0.010047132566813251,0.8219788845107202,0.0019054748970009031,True,,
NGC4217,1,2.94,181.3,86.0,18.0,85.299,2.562,19,0,11,11,7.35,-0.11144718786549872,0.02054083339062088,-0.10941031225443879,2.3855943965498296,2.3845156772271783,0.11144718786549872,0.006634824419471533,-0.8751309316928179,0.0004187451754131785,True,,
NGC4389,3,2.79,0.0,50.0,18.0,21.328,0.539,6,0,0,0,6.975,,,,,,,,,,False,Q3_low_quality,Q3_low_quality|insufficient_outer_points
NGC4559,1,2.1,121.2,67.0,9.0,19.377,5.811,32,0,24,24,5.25,0.09172786586460745,0.014235778388257432,0.09426538021454832,1.9751959039789375,1.9764887098883621,0.09172786586460745,0.010958833232175951,0.8084821736090912,1.7528110232208213e-06,True,,
NGC5005,1,9.45,262.2,68.0,16.9,178.72,1.28,18,0,0,0,23.625,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
NGC5033,1,5.16,194.2,66.0,15.7,110.509,11.314,22,0,14,14,12.9,-0.14858736260415986,0.026289838212165968,-0.127512327911426,2.531400649704872,2.5029307634973135,0.14858736260415986,0.013699371875422566,-0.8525987031606649,0.00010695857511388948,True,,
NGC5055,1,3.2,179.0,55.0,9.9,152.922,11.722,28,0,17,17,8.0,-0.109976838700355,0.007992329568393302,-0.12003516741868459,2.4319010161264103,2.4496699341704176,0.109976838700355,0.007413213697796967,-0.9625980572822378,6.518601040761112e-10,True,,
NGC5371,1,7.44,209.5,53.0,39.7,340.393,11.18,19,0,10,10,18.6,-0.20695752981979873,0.034082115814794076,-0.23596499508275487,2.6531068327459986,2.6949218738728224,0.20695752981979873,0.011537395811304096,-0.9064873831242585,0.0002984501715730139,True,,
NGC5585,1,1.53,90.3,51.0,7.06,2.943,1.683,24,0,11,11,3.825,0.17574297971125727,0.0346204283072766,0.13252020447512822,1.78934651267072,1.8311300130179706,0.17574297971125727,0.014492842730369333,0.860898291052148,0.0006661809202518328,True,,
NGC5907,1,5.34,215.0,88.0,17.3,175.425,21.025,19,0,15,15,13.35,-0.07539158389508076,0.012499064688953072,-0.08609215590969355,2.4551652674854374,2.469901376860332,0.07539158389508076,0.007350404555956925,-0.858340275743736,4.222035225428483e-05,True,,
NGC5985,1,7.01,293.6,60.0,39.7,208.728,11.586,33,0,14,14,17.525,-0.0022664846445345165,0.019316354163433292,0.0025137458617534754,2.466751322356646,2.459822386497461,0.0022664846445345165,0.005725487900163013,-0.033852286672961196,0.9085355889993195,True,,
NGC6015,2,2.3,154.1,60.0,17.0,32.129,5.834,44,0,27,27,5.75,0.031683983750159225,0.0149102570976609,0.03814751866495312,2.153980326535671,2.145252426691714,0.031683983750159225,0.014421764732468338,0.39113737189095127,0.04365136255993702,True,,
NGC6195,1,13.94,251.7,62.0,127.8,391.076,20.907,23,0,1,1,34.85,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
NGC6503,1,2.16,116.3,74.0,6.26,12.845,1.744,31,0,24,24,5.4,-0.005406462129468506,0.004908183717725343,-0.0023454734113793297,2.069816413966819,2.067342923340308,0.005406462129468506,0.004018148880927155,-0.22862487512494634,0.2825762760434984,True,,
NGC6674,1,6.04,241.3,54.0,51.2,214.654,32.165,15,0,12,12,15.1,-0.08734121021870798,0.01898961233995361,-0.07750402347251618,2.5337661933515854,2.5142257923561386,0.08734121021870798,0.011816152306554464,-0.8240271916181486,0.0009809900707986416,True,,
NGC6789,2,0.31,0.0,43.0,3.52,0.1,0.017,4,0,0,0,0.775,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
NGC6946,1,2.44,158.9,38.0,5.52,66.173,5.67,58,0,41,41,6.1,-0.13329439873268886,0.009921892404343375,-0.09789923159678753,2.372750152893407,2.339420159405359,0.13329439873268886,0.009298535164008723,-0.9068126524217489,3.25321288605682e-16,True,,
NGC7331,1,5.02,239.0,75.0,14.7,250.631,11.067,36,0,23,23,12.549999999999999,-0.0017658419351395673,0.007365771441121227,0.005300420319506132,2.3788955232619835,2.368552161586096,0.0017658419351395673,0.004605044829585139,-0.05224328256182187,0.812859298180313,True,,
NGC7793,1,1.21,0.0,47.0,3.61,7.05,0.861,46,0,15,15,3.025,-0.14123480517753953,0.05596139797791549,-0.19729226366231697,2.1230636129174085,2.16092188754926,0.14123480517753953,0.026146559791947303,-0.5734476900037243,0.025421418151745197,True,,
NGC7814,1,2.54,218.9,90.0,14.4,74.529,1.07,18,0,12,12,6.35,-0.0659359591501644,0.009201162144956537,-0.07280407902579193,2.4102454164800196,2.416291375403433,0.0659359591501644,0.0040446864238284684,-0.914880720886959,3.0462174282426673e-05,True,,
PGC51017,3,0.53,18.6,66.0,13.6,0.155,0.201,6,0,4,4,1.3250000000000002,-0.07529036709119485,0.018040136960240684,-0.07995300907685043,1.3009345358444206,1.30236083722939,0.07529036709119485,0.0037684028455417214,-0.9471024066156517,0.05289759338434832,False,Q3_low_quality,Q3_low_quality|insufficient_outer_points
UGC00128,1,5.95,129.3,57.0,64.5,12.02,7.431,22,0,16,16,14.875,0.03399909799088081,0.015938891783810482,0.06386216742154978,2.0582165863099946,2.018219874775066,0.03399909799088081,0.009607455764137863,0.49526363328699985,0.05109958163847975,True,,
UGC00191,1,1.58,0.0,45.0,17.1,2.004,1.343,9,0,3,3,3.95,0.1292482924329603,0.005042109590159771,0.12891333509521083,1.7948789151587192,1.795507078979969,0.1292482924329603,0.0007666114119769842,0.9992399370177425,0.024822608799579548,False,insufficient_outer_points,insufficient_outer_points
UGC00634,2,2.45,0.0,37.0,30.9,2.989,3.663,4,0,3,3,6.125,0.1451913218342807,0.07318730001324915,0.1724753913947274,1.856552662952766,1.8328618628855522,0.1451913218342807,0.011059726625642722,0.8929669560278467,0.29723917674354755,False,insufficient_outer_points,insufficient_outer_points
UGC00731,1,2.3,73.3,57.0,12.5,0.323,1.807,12,0,6,6,5.75,0.14458560060900033,0.040083025805728784,0.15737005754448488,1.725390178286797,1.7141084336352954,0.14458560060900033,0.007010475009989383,0.8745659827981902,0.022613768868480693,False,insufficient_outer_points,insufficient_outer_points
