Galaxy,R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vdisk_kms,Vbul_kms,Vbar_kms,gobs_km2s2_per_kpc,gbar_km2s2_per_kpc,log10_gobs,log10_gbar,is_outer
ESO563-G021,39.03,320.0,8.0,62.96,196.77,0.0,206.59717931278735,2623.6228542147064,1093.579157058673,3.418901405358563,3.03885022425484,True
ESO563-G021,40.76,315.0,9.82,62.4,191.39,0.0,201.30546962266078,2434.3719332679098,994.2073626104024,3.3863869322448124,2.9974769749860726,True
ESO563-G021,42.41,312.0,9.07,62.21,186.89,0.0,196.97196805637088,2295.3077104456497,914.8303749115773,3.360840915577176,2.9613405759581957,True
F563-1,1.07,22.1,7.17,1.98,18.3,0.0,18.40680309016207,456.4579439252337,316.6452336448598,2.659400769685012,2.500572955122486,False
F563-1,1.78,42.7,10.66,4.03,24.51,0.0,24.83910223820499,1024.3202247191011,346.61853932584273,3.0104357477411536,2.5398517877823554,False
F563-1,2.49,60.6,7.69,6.25,27.45,0.0,28.152530969701463,1474.8433734939758,318.29919678714856,3.168745901236836,2.502835542700961,False
F563-1,2.97,76.8,11.1,7.78,28.28,0.0,29.33064608903118,1985.9393939393938,289.65885521885525,3.2979659907458116,2.4618868099415816,False
F563-1,3.04,81.6,17.5,8.01,28.2,0.0,29.315526602808962,2190.315789473684,282.6974013157895,3.3405067338989687,2.451321816273743,False
F563-1,3.19,87.0,8.93,8.49,28.16,0.0,29.411999252005973,2372.727272727273,271.18047021943573,3.375247822180056,2.433258409452623,False
F563-1,6.95,90.0,24.8,17.83,29.57,0.0,34.52960758537519,1165.4676258992806,171.55306474820142,3.066500214288536,2.2343984810126716,False
